AuthorID,Titel,ISBN,Verlag,Erscheinungsjahr
1,FAUST,978-3-15-000001-4,RECLAM,1986
1,DIE LEIDEN DES JUNGEN WERTHER,978-3-15-000067-0,RECLAM,1986
1,DER ERLKOENIG,978-3-934029-48-4,KINDERMANN VERLAG,2013
4,WAS WEISSE MENSCHEN NICHT UEBER RASSISMUS HOEREN WOLLEN ABER WISSEN SOLLTEN,978-3-446-26425-0,HANSERBLAU IN CARL HANSER,2019
5,DER STEPPENWOLF,978-3-518-36675-2,SUHRKAMP,1974
6,ROMEO UND JULIA AUF DEM DORFE,978-3-15-006172-5,RECLAM,1998
6,KLEIDER MACHEN LEUTE,978-3-15-007470-1,RECLAM,2000
8,EIN VERHEISSENES LAND,978-3-328-60062-6,PENGUIN,2020
10,TRAEUME AUS SAMT,978-3-7466-3698-6,AUFBAU TB,2020
11,NORMAL PEOPLE,978-0-571-33465-0,FABER UND FABER,2019
12,WILLHELM TELL,978-3-15-000012-0,RECLAM,2000
12,MARIA STUART,978-3-15-000064-9,RECLAM,2001
13,IKKI NI YOMERU,978-4-06-212827-8,UNKNOWN,2005
14,KINDER IHRER ZEIT,978-3-453-29195-9,DIANA,2020
15,DER ALTE MANN UND DAS MEER,978-3-499-26767-3,ROWOHLT TASCHENBUCH,2014
16,SALOME,978-3-7306-0987-3,ANACONDA VERLAG,2021
17,DER BESUCH DER ALTEN DAME,978-3-257-23045-1,DIOGENES,1998
17,DIE PHYSIKER,978-3-257-23047-5,DIOGENES,1998
18,BUDDENBROOKS,978-3-596-29431-2,FISCHER TASCHENBUCH VERLAG,1989
19,HOMO FABER,978-3-518-36854-1,SUHRKAMP,1977
20,DAS PARFUM,978-3-257-22800-7,DIOGENES,1994
21,DER PROZESS,978-3-423-02644-4,DTV,1998
21,DAS SCHLOSS,978-3-86647-106-1,ANACONDA VERLAG,2007
22,OLIVER TWIST,978-3-86647-773-5,ANACONDA VERLAG,2012
23,DIE ELENDEN,978-3-7306-0042-9,ANACONDA VERLAG,2013
24,ERAGON 1,978-3-570-40293-1,CBT,2014
24,ERAGON 2,978-3-570-40289-4,CBT,2014
26,THE GLASS CASTLE,978-1-4165-4466-1,SIMON AND SCHUSTER,2007
26,HALF BROKEN HORSES,978-1-84739-831-4,SIMON AND SCHUSTER,2010
27,HOLES,978-1-4088-6523-1,BLOOMSBURY ACADEMIC,2015
28,THE STREET,978-3-312-01160-5,NAGEL UND KIMCHE,2020
29,DER GELBE VOGEL,978-3-423-07842-9,DTV,1984
29,EIN SCHATTEN WIE EIN LEOPARD,978-3-423-78026-1,DTV,1992
30,TSCHICK,978-3-499-25635-6,ROWOHLT TASCHENBUCH,2012
34,FGDGDF,5555-55,GFF,2000
